phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.563	2.027	1.718	1.076	0.278	1.888	1.815	0.519	0.262	1.934	1.868	0.500
0.562	2.032	1.734	1.059	0.278	1.888	1.815	0.519	0.262	1.937	1.871	0.501
0.557	2.038	1.739	1.062	0.278	1.888	1.815	0.519	0.262	1.941	1.875	0.502
0.555	2.037	1.774	1.000	0.278	1.888	1.815	0.519	0.261	1.939	1.873	0.501
0.553	2.039	1.761	1.027	0.278	1.888	1.815	0.519	0.261	1.941	1.875	0.501
0.549	2.042	1.781	0.998	0.278	1.888	1.815	0.519	0.261	1.943	1.877	0.501
0.549	2.044	1.732	1.084	0.278	1.888	1.815	0.519	0.262	1.945	1.879	0.503
0.553	2.042	1.635	1.223	0.278	1.888	1.815	0.519	0.262	1.948	1.881	0.505
0.557	2.044	1.625	1.239	0.278	1.888	1.815	0.519	0.263	1.949	1.882	0.506
0.566	2.034	1.575	1.286	0.278	1.888	1.815	0.519	0.263	1.944	1.877	0.505
0.569	2.027	1.757	1.011	0.278	1.888	1.815	0.519	0.261	1.933	1.867	0.499
0.568	2.027	1.759	1.007	0.278	1.888	1.815	0.519	0.261	1.933	1.867	0.499
0.562	2.026	1.774	0.979	0.278	1.888	1.815	0.519	0.261	1.931	1.866	0.498
0.561	2.034	1.742	1.051	0.278	1.888	1.815	0.519	0.261	1.939	1.873	0.501
0.566	2.036	1.727	1.078	0.278	1.888	1.815	0.519	0.262	1.940	1.874	0.502
0.568	2.035	1.711	1.100	0.278	1.888	1.815	0.519	0.262	1.939	1.873	0.502
0.559	2.029	1.761	1.007	0.278	1.888	1.815	0.519	0.261	1.934	1.868	0.499
0.543	2.016	1.785	0.937	0.278	1.888	1.815	0.519	0.261	1.924	1.859	0.496
0.522	2.008	1.783	0.922	0.278	1.888	1.815	0.519	0.261	1.918	1.853	0.494
0.509	2.008	1.734	1.012	0.278	1.888	1.815	0.519	0.261	1.920	1.855	0.496
0.506	2.017	1.775	0.957	0.278	1.888	1.815	0.519	0.261	1.925	1.860	0.497
0.508	2.025	1.731	1.050	0.278	1.888	1.815	0.519	0.261	1.932	1.866	0.499
